ISBN13,Title,Provider,Country,Price,Scanned_Page
9783934613942,Gefangen im arktischen Eis,Bookbot,Tschechien,110.4,4
9783942473774,Familienporträts. Fotografien 1974-1994.,Antiquariat Matthias Wagner,Deutschland,100.1,4
9785717200776,Ivan the Fool. Russian Folk Belief. A Cultural History,Bookbot,Tschechien,105.82,4
9788087073292,"Great villas of Bohemia, Moravia and Silesia",Cotswold Internet Books,Vereinigtes Königreich,102.5,4
9788425339783,1001 Discos Que Hay Que Escuchar Antes de Morir / 1001 Albums You Must Hear Before You Die (Spanish Edition),Iridium_Books,Spanien,119.0,4
9788425341816,1001 discos que hay que escuchar antes de morir/ 1001 Albums You Most Hear Before You Die (Spanish Edition),Iridium_Books,Spanien,349.0,4
9788425343308,1001 discos que hay que eschucar antes de morir/ 1001 Albums You Must Hear Before You Die (Spanish Edition),Iridium_Books,Spanien,575.96,4
9788425350887,1001 discos que hay que escuchar antes de morir / 1001 Albums You Must Hear Before You Die (Spanish Edition),Iridium_Books,Spanien,349.0,4
9788896527009,Lucca Encounters the World,Bookbot,Tschechien,111.6,4
9789083065557,Rijks. Masters of the Golden Age,Bookbot,Tschechien,109.1,4
9789812790606,Differential Geometry and Its Applications,Bookbot,Tschechien,113.7,4
9789934819735,Movement. Visvaldis Ziedi??,Bookbot,Tschechien,108.54,4
